"name","strain","sample","filename","dir"
"heart","Trp53cor1","Heart","Trp53cor_E145_Heart","/n/rinn_data2/users/agroff/seq/OtherMice/Diana/lincP21/diff/oldDiffs/Trp53cor1_E14.5_HEART"
"leg","Trp53cor1","leg","lincp21_broad_leg","/n/rinn_data2/users/agroff/seq/OtherMice/Diana/lincP21/diff/Trp53cor1_E14.5_Leg_b0331"
"liver","Trp53cor1","liver","lincp21_broad_liver","/n/rinn_data2/users/agroff/seq/OtherMice/Diana/lincP21/diff/Trp53cor1_E14.5_Liver_b0329"
"lung","Trp53cor1","lung","lincp21_broad_lung","/n/rinn_data2/users/agroff/seq/OtherMice/Diana/lincP21/diff/Trp53cor1_E14.5_Lung_b0329"

#"liver","Trp53cor1","Liver","Trp53cor_E145_Liver","/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/diff/oldDiffs/Trp53cor1_E14.5_LIVER_noKO0"
#"rib","Trp53cor1","Rib","Trp53cor_E145_Rib","/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/diff/oldDiffs/Trp53cor1_E14.5_RIB"
#"leg","Trp53cor1","Leg","Trp53cor_E145_Leg","/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/diff/oldDiffs/Trp53cor1"
#"brain_embryo","Trp53cor1","brain","Trp53cor_E145_Brain","/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/diffs/Trp53cor1_vs_WT_Embryonic"
#"brain_adult","Trp53cor1","brain","Trp53cor_Adult_Brain","/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/diffs/Trp53cor1_vs_WT_Adult"
#"kidney","Trp53cor1","kidney","lincp21_broad_kidney","/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/diff/Trp53cor1_E14.5_Kidney_b0329"
#"mefs","Trp53cor1","mikeMEFs","lincp21_broad_mikeMEFs","/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/diff/Trp53cor1_mike_MEFs_b0329"
#"leg","Trp53cor1","Male_leg","Lincp21_male_leg","/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/diff/Trp53cor1_E14.5_Leg_male"
#"kidney","Trp53cor1","rmdup_kidney","lincp21_broad_rmdup_kidney","/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/diff/Trp53cor1_rmdup_E14.5_Kidney"
#"leg","Trp53cor1","rmdup_leg","lincp21_broad_rmdup_leg","/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/diff/Trp53cor1_rmdup_E14.5_Leg"
#"liver","Trp53cor1","rmdup_liver","lincp21_broad_rmdup_liver","/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/diff/Trp53cor1_rmdup_E14.5_Liver"
#"lung","Trp53cor1","rmdup_lung","lincp21_broad_rmdup_lung","/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/diff/Trp53cor1_rmdup_E14.5_Lung"
#"mefs","Trp53cor1","rmdup_mikeMEFs","lincp21_broad_rmdup_mikeMEFs","/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/diff/Trp53cor1_rmdup_mike_MEFs"
